stname,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age2544_tot,age2544_male,age2544_fem,age4564_tot,age4564_male,age4564_fem,age65plus_tot,age65plus_male,age65plus_fem,age04_tot,age04_male,age04_fem,age59_tot,age59_male,age59_fem,age1014_tot,age1014_male,age1014_fem,age1519_tot,age1519_male,age1519_fem,age2024_tot,age2024_male,age2024_fem,age2529_tot,age2529_male,age2529_fem,age3034_tot,age3034_male,age3034_fem,age3539_tot,age3539_male,age3539_fem,age4044_tot,age4044_male,age4044_fem,age4549_tot,age4549_male,age4549_fem,age5054_tot,age5054_male,age5054_fem,age5559_tot,age5559_male,age5559_fem,age6064_tot,age6064_male,age6064_fem,age6569_tot,age6569_male,age6569_fem,age7074_tot,age7074_male,age7074_fem,age7579_tot,age7579_male,age7579_fem,age8084_tot,age8084_male,age8084_fem,age85plus_tot,age85plus_male,age85plus_fem,median_age_tot,median_age_male,median_age_fem,inflow_returns,inflow_agi,outflow_returns,outflow_agi,state_fips_code_1,county_fips_code_1,number_of_returns_2,number_of_single_returns,number_of_joint_returns,number_of_head_of_household_returns,number_of_electronically_filed_returns,number_of_computer_prepared_paper_returns,number_with_paid_preparers_signature,number_of_returns_with_direct_deposit,number_of_returns_with_virtual_currency_indicator,number_of_individuals_3,number_of_refund_anticipation_check_returns_5,number_of_elderly_returns_6,adjusted_gross_income_agi_7,number_of_farm_returns,net_migration_returns,net_migration_agi
South Carolina,5194274,2527759,2666515,285410,146020,139390,570356,290459,279897,267163,136036,131127,472028,242232,229796,4201868,2021678,2180190,4071345,1955244,2116101,1984169,987521,996648,1314369,644603,669766,1324859,638194,686665,960089,430215,529874,285410,146020,139390,306339,156222,150117,333408,169587,163821,336804,172390,164414,332996,170528,162468,328878,163448,165430,344382,167611,176771,325613,159387,166226,315496,154157,161339,303523,147928,155595,327502,159753,167749,346620,166175,180445,347214,164338,182876,317852,146700,171152,277448,128206,149242,176685,80329,96356,102917,44442,58475,85187,30538,54649,1944.4,1861.4,2028.1,2622268,217849429,2476726,196765351,2070,2116,2481110,1159530,859400,380280,2317770,82720,1239020,1511800,32940,4593490,412260,688190,191359832,21550,145542,21084078
South Dakota,896492,455626,440866,58742,29975,28767,111485,57298,54187,49559,25478,24081,82515,43105,39410,700964,355372,345592,676706,342875,333831,344590,179541,165049,225380,117567,107813,211051,107774,103277,157760,74429,83331,58742,29975,28767,61256,31427,29829,63093,32480,30613,60112,31114,28998,59098,30860,28238,56411,29515,26896,56945,29516,27429,58120,30536,27584,53904,28000,25904,46362,24129,22233,48364,24950,23414,55688,28211,27477,60637,30484,30153,55196,27752,27444,42493,21417,21076,24794,11759,13035,16186,7038,9148,19091,6463,12628,2671,2628.7,2719.4,475971,43568897,459493,41105917,3036,4485,441510,216140,174220,43040,419640,10700,239360,267150,6840,827350,52890,133120,38532855,30180,16478,2462980
Tennessee,6965740,3416869,3548871,407810,208392,199418,782723,400515,382208,365858,187041,178817,615621,311168,304453,5589847,2713088,2876759,5409349,2620921,2788428,2732680,1365169,1367511,1844870,914937,929933,1777523,869870,907653,1171335,524946,646389,407810,208392,199418,426146,217945,208201,450246,230547,219699,439125,224554,214571,448685,225678,223007,480603,239375,241228,481081,238027,243054,447362,221882,225480,435824,215653,220171,421529,208690,212839,448162,222155,226007,460384,224306,236078,447448,214719,232729,391821,183881,207940,329034,152489,176545,210844,95188,115656,129303,54564,74739,110333,38824,71509,4027.7,3910.9,4155.2,3485441,301207212,3338247,280100461,4465,9025,3248040,1536580,1181740,447260,3047360,97410,1552250,2134360,46960,6112580,541680,829440,267286449,63510,147194,21106751
Texas,29570351,14757064,14813287,1902853,971518,931335,3811492,1946354,1865138,1744654,891356,853298,2864614,1468933,1395681,22973709,11387892,11585817,22111352,10947836,11163516,12553658,6390271,6163387,8390042,4258156,4131886,6962198,3461889,3500309,3894498,1758858,2135640,1902853,971518,931335,2080729,1061613,1019116,2176415,1112915,1063500,2126763,1089310,1037453,2036853,1042805,994048,2107898,1075105,1032793,2157894,1093683,1064211,2129958,1082019,1047939,1994292,1007349,986943,1844965,924745,920220,1787095,896689,890406,1714738,850454,864284,1615400,790001,825399,1343319,637644,705675,1071005,497077,573928,681238,306566,374672,421082,179064,242018,377854,138507,239347,10051.8,9813.2,10339.1,14054912,1311629149,13686754,1270868336,12192,64516,13639740,6487040,4775340,2115560,12566440,590070,6576220,8979570,241810,26773170,2474800,2960780,1251785808,246920,368158,40760813
Utah,3339738,1690745,1648993,238338,122085,116253,484176,248940,235236,226097,116481,109616,383368,194913,188455,2502491,1260261,1242230,2391127,1203239,1187888,1505068,769068,736000,953619,487810,465809,666759,337635,329124,387381,182881,204500,238338,122085,116253,261118,133953,127165,281074,145123,135951,272475,138422,134053,278974,142836,136138,254430,131112,123318,234250,119006,115244,231759,117932,113827,233180,119760,113420,189790,97462,92328,166896,85613,81283,155252,78014,77238,154821,76546,78275,134185,65673,68512,106672,51330,55342,68109,31650,36459,42285,19246,23039,36130,14982,21148,1040.1,1032,1047.7,1524407,156398242,1517558,151688677,1421,841,1514460,713960,639660,133280,1419500,54330,728750,935570,35770,3103120,166170,308020,141159761,13930,6849,4709565
Vermont,647210,321639,325571,28371,14475,13896,59744,30961,28783,29335,15249,14086,64647,32922,31725,544498,268662,275836,529760,260954,268806,242680,122997,119683,156023,78609,77414,174594,86545,88049,134496,62878,71618,28371,14475,13896,32258,16646,15612,34811,18098,16713,41934,21661,20273,44723,22727,21996,38711,19797,18914,39366,19960,19406,39824,19927,19897,38122,18925,19197,36206,18245,17961,41805,20807,20998,46657,22960,23697,49926,24533,25393,45250,22123,23127,37830,18387,19443,23730,11165,12565,14095,6286,7809,13591,4917,8674,635.2,620.8,648.7,353715,30680792,351809,29362927,700,196,336880,180900,120960,27920,313870,10890,156100,193220,4570,570210,37930,113130,26937588,3930,1906,1317865
Virginia,8658910,4281664,4377246,494791,253090,241701,957054,490597,466457,443710,227532,216178,798928,408727,390201,6983174,3422907,3560267,6763355,3310445,3452910,3471538,1757528,1714010,2341960,1179384,1162576,2212543,1090130,1122413,1409924,632204,777720,494791,253090,241701,522901,267945,254956,547213,280767,266446,560190,285072,275118,569388,293072,276316,581762,296234,285528,597999,300219,297780,597102,300431,296671,565097,282500,282597,528147,263615,264532,559057,277332,281725,577804,283731,294073,547535,265452,282083,463188,219073,244115,388816,179783,209033,254770,114224,140546,158207,67313,90894,144943,51811,93132,5652.3,5479,5836.8,4517706,455573867,4525803,464162431,6783,35111,4160310,2041770,1508390,488000,3840450,168140,1854010,2564560,77850,7705600,544820,1098770,410890827,36520,-8097,-8588564
Washington,7743760,3901782,3841978,436225,223384,212841,861934,441795,420139,383956,196745,187211,642460,334787,307673,6250371,3136335,3114036,6061645,3039858,3021787,3198122,1654462,1543660,2270738,1173778,1096960,1886304,949349,936955,1262143,581944,680199,436225,223384,212841,472985,242695,230290,487981,249948,238033,452433,232423,220010,474951,248261,226690,565115,294388,270727,609776,315946,293830,577648,298082,279566,518199,265362,252837,457955,233225,224730,475362,242422,232940,474447,237597,236850,478540,236105,242435,429161,206163,222998,353460,167125,186335,221821,103011,118810,132244,58869,73375,125457,46776,78681,1667.4,1634.1,1702.1,3970528,474184309,3963270,481017409,2067,1521,3757450,1890550,1429810,370850,3498540,122150,1542710,2266230,91410,6937900,436780,994150,416503270,21720,7258,-6833100
West Virginia,1785618,891784,893834,89097,45649,43448,182841,93826,89015,86563,44708,41855,155579,80685,74894,1470201,729879,740322,1427117,707601,719516,648901,334104,314797,428669,219995,208674,473153,236684,236469,369716,170237,199479,89097,45649,43448,99123,50790,48333,105628,54320,51308,108855,56545,52310,111377,57564,53813,106725,55637,51088,107509,55197,52312,103668,53104,50564,110767,56057,54710,109065,55388,53677,116305,59113,57192,120669,59950,60719,127114,62233,64881,119400,57476,61924,106057,50669,55388,65074,30273,34801,42329,18411,23918,36856,13408,23448,2467.6,2411.3,2532.1,798108,51303689,796625,51517098,2970,3025,776160,363910,302570,91380,723610,27820,345260,525670,6530,1452100,135830,234630,50575539,15270,1483,-213409
Wisconsin,5881608,2945365,2936243,319993,163572,156421,645498,331062,314436,310226,159306,150920,537365,273307,264058,4759832,2370373,2389459,4605891,2291425,2314466,2247075,1146522,1100553,1478277,754422,723855,1529517,770165,759352,1060732,493531,567201,319993,163572,156421,347078,177658,169420,377213,193917,183296,380184,194988,185196,388614,197112,191502,371523,190591,180932,362953,185432,177521,378968,192414,186554,364833,185985,178848,331395,168559,162836,368923,187411,181512,410961,205655,205306,418238,208540,209698,360119,177918,182201,288750,140025,148725,179627,83564,96063,116626,50658,65968,115610,41366,74244,3190.6,3138.5,3245.5,2997358,259148443,3001452,260326475,3960,5119,2941070,1516620,1113180,277470,2772340,78260,1535050,1766130,40870,5296320,310920,881350,241682780,52940,-4094,-1178032
Wyoming,579636,296480,283156,32200,16448,15752,68263,35169,33094,32041,16442,15599,52218,27585,24633,462745,236416,226329,447132,228421,218711,226449,117851,108598,150502,78092,72410,139902,71780,68122,104510,50964,53546,32200,16448,15752,36514,18935,17579,40061,20502,19559,38549,19976,18573,37398,19783,17615,35360,18281,17079,38125,19792,18333,39850,20643,19207,37167,19376,17791,32088,16805,15283,32279,16801,15478,35148,17771,17377,40387,20403,19984,37062,18835,18227,29022,14694,14328,17488,8546,8942,10795,4985,5810,10143,3904,6239,955.5,948.2,964.9,304497,37126088,298912,32730920,1288,529,280830,135050,113740,26110,264600,7660,136770,170400,4570,527690,38560,84740,29426051,9200,5585,4395168
